ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	57.46206390698321	57.46206390698321	57.46206390698321	57.46206390698321
1	57.46206390698321	57.46206390698321	57.46206390698321	57.46206390698321
2	57.46206390698321	57.46206390698321	57.46206390698321	57.46206390698321
3	57.46206390698321	57.46206390698321	57.46206390698321	57.46206390698321
4	57.46206390698321	57.46206390698321	57.46206390698321	57.46206390698321
5	57.46206390698321	57.46206390698321	57.46206390698321	57.46206390698321
6	57.46206390698321	57.46206390698321	57.46206390698321	57.46206390698321
7	57.46206390698321	57.46206390698321	57.46206390698321	57.46206390698321
8	57.46206390698321	57.46206390698321	57.46206390698321	57.46206390698321
9	57.46206390698321	57.46206390698321	57.46206390698321	57.46206390698321
10	57.46206390698321	57.46206390698321	57.46206390698321	57.46206390698321
